epoch,train_loss,train_top1_acc,train_time,test_loss,test_top1_acc,test_time
0,1.702251753616333,36.26,0.12257716722805481,1.3964528484344483,48.19,0.13328069373022153
1,1.2200662972259522,55.444,0.12159100639850587,1.133936842918396,60.559998,0.13267230082161818
2,1.0035707559585572,64.206,0.12133514362832774,1.1904234092712402,59.289997,0.13353682167922395
3,0.8546700329589844,70.049995,0.12172495922469118,0.8789845344543457,69.92,0.13258391392381885
4,0.7478098503494263,73.95,0.12218714857955112,0.9491171298027039,67.64,0.1334474660173247
