epoch,train_loss,test_loss,test_accuracy
1,0.16480666399002075,0.15610949249267578,0.9561
2,0.06171095743775368,0.10041153869628906,0.9707
3,0.01605166308581829,0.07159425354003907,0.9772
4,0.1027502566576004,0.05753863677978516,0.9818
5,0.1068761795759201,0.05833964080810547,0.9821
6,0.007950511761009693,0.042657674407958986,0.9863
7,0.01759793423116207,0.038590914535522464,0.9887
8,0.06196272373199463,0.04721405029296875,0.9855
9,0.0028557635378092527,0.03609701251983643,0.9886
10,0.0016345049953088164,0.034732358169555666,0.9893
